locality_id,locality_name,schools
6480,NATIMUK,1
7645,MELTON WEST,7
9572,COHUNA,3
10371,FOSTER,2
6815,ALPHINGTON,3
7030,CAULFIELD NORTH,4
9068,LOWER PLENTY,1
8744,TATURA,2
10142,MORIAC,1
9070,ELTHAM NORTH,4
7243,LANGWARRIN SOUTH,2
7273,WENDOUREE,5
10208,BAYSWATER,5
7641,HASTINGS,4
9327,MARLO,1
6698,CASTERTON,3
9494,UPPER FERNTREE GULLY,1
6942,WARRANWOOD,2
7279,ST ALBANS,13
8174,WARRAGUL,8
10014,BELLFIELD,1
6390,LAKE BOLAC,1
9978,THE BASIN,3
7134,FRANKSTON SOUTH,3
10061,WILLOW GROVE,1
10143,BIRREGURRA,1
9584,RUTHERGLEN,3
9681,COLBINABBIN,1
6715,WYCHEPROOF,1
7591,CARRUM DOWNS,4
6916,ABBOTSFORD,2
7109,CAMPBELLFIELD,1
9815,BANNOCKBURN,1
9753,BRUNSWICK,4
9251,FORREST,1
9298,MELBOURNE,7
6641,KANIVA,1
9001,MITTA MITTA,1
7593,CASTLEMAINE,5
6983,FERNY CREEK,1
9708,LEOPOLD,1
8599,BROADFORD,2
7500,MACCLESFIELD,1
9971,BORONIA,5
6984,CAIRNLEA,1
6505,WANTIRNA SOUTH,7
7617,FRANKSTON,15
8211,MILAWA,1
9254,RIDDELLS CREEK,1
7014,WESTMEADOWS,1
8769,POMONAL,1
7541,TEMPLESTOWE,3
9759,COBURG NORTH,2
10070,MULGRAVE,5
9844,APOLLO BAY,1
6867,GOLDEN POINT,1
7846,POOWONG,1
9152,TOORAK,4
10297,MOONEE PONDS,3
10465,CORIO,3
10160,BALLIANG EAST,1
6753,CHILTERN,2
6485,HOPETOUN,2
8250,LANDSBOROUGH,1
6670,UNDERBOOL,1
9053,TAWONGA,1
9646,LALOR,8
9803,COIMADAI,1
8974,PORT FAIRY,2
10091,DONCASTER,4
6725,AIRPORT WEST,2
7900,LANGWARRIN,5
9838,SIMPSON,1
10349,KILSYTH,4
10144,RYE,1
9930,KINGLAKE WEST,1
10436,NOBLE PARK,8
10411,MERNDA,4
9862,UNDERA,1
9171,PORTLAND,8
7461,BEACONSFIELD UPPER,1
7631,CHUM CREEK,1
7101,BULLARTO,1
10353,EAGLE POINT,1
8868,PYALONG,1
9819,WOORI YALLOCK,1
9488,BARANDUDA,3
10206,SUNSHINE WEST,7
6724,NOORINBEE,1
7687,BROKEN CREEK,1
6934,BOX HILL SOUTH,2
9569,MURRABIT,1
7729,EAST GEELONG,1
8083,TALBOT,1
9827,WOODEND,2
8590,FALLS CREEK,1
8666,ARARAT,6
10086,AIRLY,1
10054,IVANHOE,5
10027,DEVON NORTH,1
6936,CHELSEA HEIGHTS,1
9954,VERMONT,4
9390,MIRBOO NORTH,2
9939,KINGLAKE CENTRAL,1
9539,RED CLIFFS,5
9985,YALLOURN NORTH,1
7065,CABARITA,1
7313,WOODFORD,1
9260,KEILOR LODGE,1
10032,NARRE WARREN NORTH,3
7639,BALNARRING,1
6502,KNOXFIELD,2
9984,CHIRNSIDE PARK,2
9997,CROYDON NORTH,2
6883,OAK PARK,2
9666,RINGWOOD NORTH,3
9457,BUCHAN,1
10111,MALLACOOTA,1
10419,GUILDFORD,1
10357,LARDNER,1
6684,MURRAYVILLE,1
6894,NEWINGTON,3
8321,MOONAMBEL,1
9031,DROMANA,3
6905,BLACKBURN SOUTH,3
7606,YINNAR,1
6622,PYRAMID HILL,2
8792,CLUNES,1
9110,MAGPIE,1
8787,HAMPTON,2
10085,DRYSDALE,5
8506,CORRYONG,2
6872,ST KILDA EAST,6
10162,PRAHRAN,1
9688,CRANBOURNE EAST,5
10336,NORTHCOTE,6
8187,DHURRINGILE,1
9032,WATSONIA,2
8324,WARRNAMBOOL,12
10138,DROUIN WEST,1
8110,ARDMONA,1
10148,GISBORNE,3
10408,METUNG,1
6528,HAWKESDALE,1
6981,SPRINGVALE SOUTH,4
10123,POREPUNKAH,1
10509,CRAIGIEBURN,9
7905,MOUNT MACEDON,2
9777,SPOTSWOOD,2
10245,BEAUMARIS,3
7740,SILVAN,1
8796,SKIPTON,1
9233,GOLDEN SQUARE,2
8805,MOYSTON,1
8722,ASPENDALE GARDENS,1
8415,BOISDALE,1
8255,HAZELWOOD NORTH,1
6928,BALLARAT CENTRAL,2
8550,WANDILIGONG,1
8825,TONGALA,2
6620,WERRIMULL,1
7933,MOOROODUC,1
10205,SUNSHINE,4
6776,MCKINNON,1
7367,GRAHAMVALE,1
6579,BETHANGA,1
9092,SAILORS GULLY,1
7508,LEMNOS,1
6958,BLACK ROCK,2
10296,BRUNSWICK WEST,3
9768,NAYOOK,1
10330,WERRIBEE,13
7642,GARFIELD,1
9627,BUNDOORA,7
9402,ANGLESEA,1
10242,GEMBROOK,1
7250,ORRVALE,1
7072,OAKLEIGH SOUTH,3
7114,THOMASTOWN,9
8121,WALLAN,2
9676,WAURN PONDS,1
10413,AXEDALE,1
9673,DIAMOND CREEK,4
10424,KORUMBURRA,3
7017,BURWOOD EAST,5
8735,LANCEFIELD,2
8591,TRAVANCORE,2
8195,GIRGARRE,1
10399,UPPER PLENTY,1
10222,WODONGA,8
9817,LETHBRIDGE,1
7482,NUNGURNER,1
8821,TOOLERN VALE,1
9242,TAYLORS LAKES,2
10087,MILDURA,11
6799,KINGSBURY,2
6465,DIMBOOLA,3
6913,TECOMA,1
8839,YARRAM,3
6827,ELWOOD,4
9918,LOCH SPORT,1
8473,MERRIGUM,1
6874,BRIDGEWATER ON LODDON,1
9535,MERBEIN,2
6746,CLIFTON HILL,3
9626,MACLEOD,2
10435,SPRINGVALE,7
10443,WEST FOOTSCRAY,2
8215,GRETA SOUTH,1
8022,TOORA,1
10437,OFFICER,5
7357,RESEARCH,2
7056,YARRAVILLE,5
9496,FERNTREE GULLY,9
8653,MARNOO,1
9137,MOUNT HELEN,1
6789,SEAHOLME,1
8380,SEYMOUR,2
7372,DINGLEY VILLAGE,3
8797,LINTON,1
8046,TYERS,1
10493,CANTERBURY,5
8249,ALLANSFORD,1
7828,CRESWICK,3
10440,DELACOMBE,2
9101,KEW,12
7409,SORRENTO,2
9010,SOUTH MELBOURNE,3
7138,GLEN WAVERLEY,13
7565,MONBULK,4
10481,BOLINDA,1
6854,PRINCES HILL,2
9776,PASCOE VALE SOUTH,1
9732,BENTLEIGH,4
6653,RUPANYUP,1
9840,CARLISLE RIVER,1
10487,KINGLAKE,1
7090,VERMONT SOUTH,5
7021,COBURG,10
9330,SEBASTOPOL,4
9607,TORRUMBARRY,1
7074,SHERBROOKE,1
6966,CHADSTONE,2
6948,LONG GULLY,1
10266,RINGWOOD,7
9830,FRENCH ISLAND,1
8334,KOO WEE RUP,3
10382,BELLBRAE,1
9697,STRATHMORE,4
6520,DALYSTON,1
7644,NEW GISBORNE,3
9234,TARRINGTON,1
9231,TULLAMARINE,1
10370,DEVON MEADOWS,1
10274,SYDENHAM,3
6881,KENSINGTON,3
9226,KEILOR EAST,4
10126,BALWYN NORTH,7
6813,ALBERT PARK,2
10318,MOOROOLBARK,10
10028,FLOWERDALE,1
9082,BRIGHT,1
9037,MONTMORENCY,4
10195,BURNSIDE HEIGHTS,1
7277,BADGER CREEK,1
9795,AIREYS INLET,1
7498,LILYDALE,7
8003,PEARCEDALE,1
8307,TRAFALGAR,3
6896,CARNEGIE,3
9915,MARONG,1
8073,MUCKLEFORD,1
10137,JINDIVICK,1
6932,SANDRINGHAM,4
9575,BANDIANA,1
8840,SOUTHBANK,1
8684,HEATHCOTE,2
8510,WAUBRA,1
9636,ALBERTON,1
9952,WILLOWMAVIN,1
9093,CARISBROOK,1
6604,SURREY HILLS,4
9963,EMERALD,3
9178,DIGGERS REST,1
7700,TANGAMBALANGA,1
9890,LOCKINGTON,1
8236,LAL LAL,1
9649,DEDERANG,1
10308,KONGWAK,1
10213,MURCHISON,1
10262,CLYDE NORTH,3
7031,NORTH BENDIGO,2
6728,MORTLAKE,2
9720,TOOBORAC,1
7213,DON VALLEY,1
6863,CROYDON HILLS,3
6888,HUGHESDALE,3
10499,BROOKFIELD,1
8055,WOORINEN SOUTH,1
8358,NULLAWARRE,1
7951,DRUMMOND,1
8692,MYRRHEE,1
7659,BUNGAREE,1
7462,ST LEONARDS,1
7810,NYAH WEST,1
9201,SUNSHINE NORTH,5
10283,TALLANGATTA,3
8801,SMYTHESDALE,1
8748,EDI UPPER,1
8679,PUCKAPUNYAL,1
6830,ASHWOOD,4
9051,INDIGO VALLEY,1
7305,CLAYTON SOUTH,3
9772,QUEENSCLIFF,2
6908,SOUTH YARRA,5
7755,LANGLEY,1
7370,TRARALGON SOUTH,1
9896,GOROKE,1
8049,HARSTON,1
10008,BRIAR HILL,2
10272,HILLSIDE,2
8710,KATAMATITE,1
6823,CHELSEA,2
10153,GREENSBOROUGH,8
9321,MARYBOROUGH,3
9315,CRANBOURNE,7
7786,VENTNOR,1
8181,TOOLAMBA,1
10380,WHITTINGTON,2
7390,SPRING GULLY,1
6886,EDITHVALE,1
9969,BRIGHTON EAST,4
7992,DIXONS CREEK,1
9477,GROVEDALE,5
8766,LABERTOUCHE,1
8589,RAYWOOD,1
10084,CLIFTON SPRINGS,1
10343,TEMPY,1
10180,TAYLORS HILL,2
9659,MOE,5
6427,YAAPEET,1
10299,STRATHMERTON,1
6599,KEYSBOROUGH,6
6708,WEDDERBURN,1
8001,BONEO,1
7910,YARRA GLEN,1
8884,SHELFORD,1
6676,OMEO,1
9979,PRESTON,11
9942,HOPPERS CROSSING,10
10035,ANAKIE,1
9427,GLEN IRIS,6
10192,ELLINBANK,1
6779,SOLDIERS HILL,2
8295,TIMBOON,1
7874,CHRISTMAS HILLS,1
10210,HARCOURT,1
8956,BRIAGOLONG,1
6763,NUMURKAH,3
10040,ASCOT VALE,4
7478,PANTON HILL,1
8755,JAMIESON,1
10400,NEWLYN,1
7164,KURUNJANG,2
10510,GREENVALE,4
7245,BAXTER,1
10459,WALLINGTON,1
9141,BROWN HILL,1
10212,TARNEIT,7
7029,BELGRAVE,3
9256,SUNBURY,13
10453,BEVERIDGE,1
6898,CALIFORNIA GULLY,1
10395,MERINO,1
6900,CLARINDA,3
9214,STRATHFIELDSAYE,2
10004,CARLTON NORTH,1
9394,LOCH,1
8239,ST ARNAUD,3
7456,COWES,1
9885,DEVENISH,1
9162,NERRINA,1
7961,EVERTON,1
8056,KATANDRA WEST,1
9434,LAVERS HILL,1
8906,GORMANDALE,1
10425,SCORESBY,3
10449,ARMADALE,3
7079,CRIB POINT,2
8016,MOUNT EGERTON,1
10049,COCKATOO,1
10170,HARKAWAY,1
8341,LAKE BOGA,1
8986,YACKANDANDAH,1
9623,NEWTOWN,8
10303,HEYWOOD,2
7706,MOUNT MARTHA,3
7920,ELLIMINYT,2
9125,MOUNT CLEAR,4
8716,BEAUFORT,2
9537,NICHOLS POINT,1
9957,DERRINALLUM,1
7348,WARRANDYTE,3
8725,KYNETON,4
8925,STAWELL,5
6793,FITZROY,4
6991,BRAYBROOK,6
7392,LINDENOW,1
6822,MURRUMBEENA,2
9334,MAIDEN GULLY,2
10033,NARRE WARREN,7
6769,NATHALIA,4
10471,BOLWARRA,1
7061,BENDIGO,7
10149,BOX HILL NORTH,3
6834,FITZROY NORTH,5
10286,MANOR LAKES,2
6978,MOORABBIN,5
6523,SAN REMO,1
8383,ALEXANDRA,3
10202,GLENROY,7
6685,EDENHOPE,2
9383,MEENIYAN,1
9691,KEILOR DOWNS,4
6807,ABERFELDIE,4
9605,ECHUCA,9
10042,BALWYN,3
10328,COTTLES BRIDGE,1
8833,HALLS GAP,1
8658,BEECHWORTH,4
10433,KERANG,5
10474,COLAC,7
10271,NOWA NOWA,1
9992,RESERVOIR,14
9955,ORMOND,6
7529,BUNINYONG,1
9013,RED HILL,1
6824,BALLARAT NORTH,1
7686,CUDGEE,1
9209,BLOWHARD,1
8910,CONCONGELLA,1
6499,WONTHAGGI,5
10450,FOOTSCRAY,7
7188,CRANBOURNE WEST,2
6987,HEATHMONT,4
10463,LARA,4
8008,TAMBO UPPER,1
7885,LONDRIGAN,1
9762,PASCOE VALE,5
10077,PORT MELBOURNE,2
9495,LYSTERFIELD,1
6788,THOMSON,3
10154,ST HELENA,1
7984,LOCKWOOD,1
6584,DEEPDENE,2
6631,LONGFORD,1
10190,NICHOLSON,1
10335,BRUNSWICK EAST,3
9886,KYABRAM,2
6551,LANG LANG,1
10010,MONTROSE,3
8136,LOCKWOOD SOUTH,1
10006,TEMPLESTOWE LOWER,4
9490,ARMSTRONG CREEK,1
7680,BULN BULN,1
10221,JEPARIT,1
9409,KOONWARRA,1
9265,ORBOST,4
9698,MALMSBURY,2
10325,GORDON,2
6947,TOOTGAROOK,1
6841,MIDDLE PARK,1
6955,CAULFIELD SOUTH,4
10505,NARRAWONG,1
9218,CAVENDISH,1
10334,THORNBURY,8
7234,BONA VISTA,1
7650,SKYE,1
10088,IRYMPLE,5
6742,YEA,3
9855,BEULAH,1
6862,GEELONG WEST,2
9585,WAHGUNYAH,1
8116,MOOROOPNA NORTH,1
7563,MELTON,2
7757,BAYLES,1
10339,BERWICK,13
9473,MICKLEHAM,2
10220,RAINBOW,1
9207,KEALBA,1
10512,MARIBYRNONG,2
9116,WHITE HILLS,3
7908,ROCHESTER,3
9220,COLERAINE,2
10423,TYNONG,1
6716,SEA LAKE,2
9734,WALWA,1
9947,BALMORAL,1
7790,ROCKBANK,1
10347,DAYLESFORD,4
8626,LONGWOOD,1
8774,GRASSMERE,1
9049,DUNOLLY,1
6403,BOORT,1
9283,MINYIP,1
8943,LAKE CHARM,1
6423,RUBICON,1
9976,VIEWBANK,2
10514,MALVERN EAST,6
7129,CLARKES HILL,1
6800,CAULFIELD EAST,1
9672,WATTLE GLEN,1
6876,MOUNT PLEASANT,1
7046,BLACKBURN,5
8686,MAROONA,1
10069,CLAYTON,3
7071,NEWHAVEN,2
10102,MITCHAM,5
10175,SEAFORD,8
7032,DOVETON,2
10045,RIPPLEBROOK,1
9611,TALGARNO,1
8213,COWWARR,1
10456,HAMLYN HEIGHTS,3
8485,TRAWALLA,1
10127,TOOLANGI,1
6962,ST KILDA,3
9822,SEVILLE,1
7441,MOUNT ELIZA,7
9466,NAPOLEONS,1
9876,DOOKIE,1
9523,CERES,1
7457,TARNAGULLA,1
9097,STRATHEWEN,1
10064,YARRA JUNCTION,5
10461,PARK ORCHARDS,2
6970,FAIRFIELD,1
7255,HAMPTON PARK,6
8301,BOGONG,1
7078,SELBY,1
10426,WHEELERS HILL,8
8807,DONALD,3
9655,ROSANNA,4
10240,ROMSEY,1
7417,BELGRAVE SOUTH,1
9346,NYORA,1
9077,INGLEWOOD,2
9526,HIGHTON,4
10458,HERNE HILL,2
7800,DROUIN,4
7955,SHEPPARTON,14
7263,DEER PARK,3
8641,SEABROOK,1
7490,LAKES ENTRANCE,3
6989,MORDIALLOC,3
7717,CAMPBELLS CREEK,2
8816,GLENGARRY,1
9714,CAMPERDOWN,3
8526,GRUYERE,1
10438,PAKENHAM,9
10360,NAMBROK,1
10416,TYLDEN,1
6821,PORTARLINGTON,1
10207,BAYSWATER NORTH,1
9159,NARRE WARREN SOUTH,5
9232,KENNINGTON,3
8967,BIRCHIP,1
8778,LINDENOW SOUTH,1
10312,RUSHWORTH,2
9308,KEW EAST,3
10241,HESKET,1
8491,COBDEN,3
9774,POINT LONSDALE,1
10165,TORQUAY,3
9899,ELMORE,2
8673,EUROA,3
8795,ROKEWOOD,1
9677,MOOLAP,1
7969,MORWELL,5
7269,WURRUK,1
8718,MERRIJIG,1
7124,THORPDALE,1
7083,WEST MELBOURNE,1
10326,ARTHURS CREEK,1
7360,KIALLA WEST,1
6796,COLLINGWOOD,3
8365,NEERIM SOUTH,2
6647,MORNINGTON,7
7008,NORLANE,1
9387,WELSHPOOL,1
9143,HADDON,1
9729,NANNEELLA,1
7099,BITTERN,1
9909,VIOLET TOWN,1
8823,MOYHU,1
10348,CROYDON,7
8993,NATTE YALLOCK,1
7839,NOORAT,1
8475,COLDSTREAM,1
6944,ASPENDALE,4
7944,DROUIN SOUTH,1
7294,ZEERUST,1
7306,MILLGROVE,1
6878,REDAN,1
7337,BIG HILL,1
10490,DOREEN,5
7386,HAWTHORN,8
8398,BUXTON,1
9610,LEITCHVILLE,1
9138,WARRENHEIP,1
7916,NEWSTEAD,1
10434,DONCASTER EAST,6
7981,NAVARRE,1
10267,RINGWOOD EAST,3
7092,ESSENDON,5
9647,MILL PARK,6
6935,OAKLEIGH,3
8614,AVENEL,1
9499,HODDLES CREEK,1
8957,STRATFORD,2
9757,CROYDON SOUTH,1
7084,BALLARAT EAST,3
7943,WANGARATTA,12
6911,PARKDALE,3
6460,SWIFTS CREEK,1
9642,CLYDE,1
9983,KINGS PARK,3
7067,AVONDALE HEIGHTS,2
7022,RAWSON,1
8570,WATSONIA NORTH,1
7036,FOREST HILL,1
9895,MURTOA,2
9035,DANDENONG NORTH,5
10257,SOMERS,2
7133,HURSTBRIDGE,1
8176,MOUNT BEAUTY,2
8277,ELPHINSTONE,1
7784,SHEPPARTON EAST,1
9731,MEREDITH,1
10427,ROWVILLE,6
10110,MYRTLEFORD,3
8942,NAGAMBIE,2
8039,BOOLARRA,1
10428,NAR NAR GOON,2
8198,PANMURE,1
10092,MONT ALBERT NORTH,2
6392,ULTIMA,1
10007,CARLTON,2
9990,ELTHAM,5
9609,GUNBOWER,1
10244,CHELTENHAM,6
8687,NOOJEE,1
6940,COOLAROO,2
10340,BEACONSFIELD,2
8099,TRENTHAM,1
9560,BEVERFORD,1
7396,DERRIMUT,2
9507,MOUNT DUNEED,1
6414,MANSFIELD,5
6730,APSLEY,1
8072,CLIFTON CREEK,1
6408,WARRACKNABEAL,4
7619,SHEPPARTON NORTH,2
10109,COBAINS,1
9086,GOONGERAH,1
8397,CRANBOURNE SOUTH,1
6634,PENSHURST,2
6475,HORSHAM,7
10402,WILLIAMSTOWN,6
7584,TOORADIN,1
6790,IRONBARK,1
10062,TANJIL SOUTH,1
8876,CAPE CLEAR,1
7004,NUNAWADING,3
10228,YARRAGON,1
6828,ELSTERNWICK,4
7350,WANDIN NORTH,2
6868,ALBANVALE,1
6410,DARTMOOR,1
6421,MACARTHUR,1
9946,EILDON,1
9224,NIDDRIE,2
8499,WOORAGEE,1
9837,POINT COOK,8
6741,TALLAROOK,1
6895,THE PATCH,1
9288,WHOROULY,1
6729,QUAMBATOOK,1
10511,ROXBURGH PARK,5
9222,KEILOR,3
9717,TARWIN LOWER,1
7571,DUNNSTOWN,1
9922,BUANGOR,1
10105,REDESDALE,1
10501,BEEAC,1
7868,LANCASTER,1
6630,BENALLA,5
10250,MADDINGLEY,2
9375,LEONGATHA,5
10448,BALLAN,2
6768,TUNGAMAH,1
9277,NARRACAN,1
10076,PORTLAND NORTH,1
8013,KOROIT,2
8332,KILMORE,4
6903,GEELONG,3
9133,WARBURTON,1
10301,HEPBURN,1
10446,LAVERTON,4
9158,CRANBOURNE NORTH,5
7832,DARNUM,1
8655,DINGEE,1
9363,DALLAS,4
7201,CAPEL SOUND,2
7151,DENNINGTON,1
6740,LITTLE RIVER,1
9802,DARLEY,2
6643,NHILL,3
7903,WANDONG,1
7000,FRANKSTON NORTH,3
9580,BARNAWARTHA,1
7798,TARADALE,1
7737,TYABB,3
6454,BRANXHOLME,1
8954,NULLAWIL,1
8754,AMPHITHEATRE,1
7181,ROSEBUD,3
9364,BROADMEADOWS,8
10462,DONVALE,5
10445,MALVERN,3
8009,AXE CREEK,1
8152,MOOROOPNA,4
7826,YINNAR SOUTH,1
7886,WINTON,1
10420,ALFREDTON,2
6887,ARDEER,2
6609,LYNBROOK,2
9966,WANTIRNA,5
9329,BAIRNSDALE,8
9778,NEWPORT,4
8200,WUNGHNU,1
10204,HADFIELD,1
8263,ELMHURST,1
6607,LYNDHURST,1
8980,CANN RIVER,1
10146,MACEDON,2
8135,CARDROSS,1
7194,ALTONA NORTH,3
8220,WAAIA,1
10508,ST ANDREWS,1
10223,LENEVA,1
6946,FLORA HILL,1
6785,WINDSOR,2
7741,MELTON SOUTH,5
7602,CARDINIA,1
10362,ROSEDALE,1
7400,MOUNT EVELYN,4
9297,EAST MELBOURNE,1
6506,LORNE,1
8859,BRIGHTON,8
10038,HEIDELBERG,4
6394,DUNKELD,1
6717,LAHARUM,1
9991,FAWKNER,6
9682,HAWTHORN EAST,5
10031,NEWMERELLA,1
7184,ALTONA,4
9089,EAGLEHAWK,3
6606,DANDENONG,9
10174,CARRUM,1
6797,JACANA,1
7980,WESBURN,1
10412,LAKE GARDENS,2
7898,GLENROWAN,1
7744,LOVELY BANKS,1
10179,SWAN HILL,7
6884,OAKLEIGH EAST,1
6968,BOX HILL,3
6893,NORTH MELBOURNE,5
7080,BULLEEN,3
7783,ESSENDON NORTH,1
6899,HIGHETT,1
7130,OSBORNES FLAT,1
10404,GREAT WESTERN,1
8199,CONGUPNA,1
6792,HAMPTON EAST,1
10063,LAUNCHING PLACE,1
6818,BELL PARK,4
8759,ALTONA MEADOWS,3
10417,SOUTH MORANG,3
7060,BROOKLYN,1
9733,BENTLEIGH EAST,7
9578,WEST WODONGA,4
9100,EASTWOOD,1
9083,BEALIBA,1
8274,TALLYGAROOPNA,1
7088,UPWEY,3
7122,PAYNESVILLE,1
8779,GOORNONG,1
7371,MOUNT DANDENONG,1
10485,DARGO,1
7063,BELL POST HILL,3
6835,ALBION,2
9271,MENTONE,8
8620,PARKVILLE,2
7524,KANGAROO FLAT,4
7937,SALE,9
8863,HARRIETVILLE,1
6902,NOBLE PARK NORTH,3
9631,INVERLEIGH,1
6897,GLADSTONE PARK,4
10001,WONGA PARK,1
10460,OCEAN GROVE,3
10235,ROBINVALE,2
10492,BLACKBURN NORTH,3
10476,ALVIE,1
7140,EXFORD,1
10041,FLEMINGTON,3
9686,BARWON HEADS,1
9163,GLEN PARK,1
6745,MONT ALBERT,1
7827,OXLEY,1
6425,LISMORE,1
6691,MANANGATANG,1
10494,CAMBERWELL,5
6786,ESSENDON WEST,1
7297,OLINDA,1
7753,CHURCHILL,3
10479,CORAGULAC,1
7365,ENDEAVOUR HILLS,9
6686,WILLAURA,1
7647,DINNER PLAIN,1
7016,PATTERSON LAKES,1
8399,BARINGHUP,1
6814,YALLAMBIE,1
7369,TEESDALE,1
6971,MEADOW HEIGHTS,2
8140,SEASPRAY,1
10065,GLADYSDALE,1
8296,NEWHAM,1
6636,WOOMELANG,1
10234,TERANG,2
6977,LAKE WENDOUREE,2
8763,BUNYIP,2
7539,DOOKIE COLLEGE,1
8103,KANGAROO GROUND,1
9628,HEIDELBERG WEST,1
9003,ESKDALE,1
6448,CORINELLA,1
7033,NILMA,1
9341,TIMOR,1
8830,SPRINGHURST,1
7597,INVERMAY,1
9541,NANGILOC,1
9306,IVANHOE EAST,2
10211,TRUGANINA,5
9805,MYRNIONG,1
9244,HUNTLY,1
9379,INVERLOCH,1
10044,LONGWARRY,1
10273,TOORLOO ARM,1
8002,YANDOIT,1
9589,YARRAWONGA,3
6918,BLACK HILL,1
10329,WYNDHAM VALE,2
8370,HEYFIELD,2
6629,MARYSVILLE,1
6638,OUYEN,1
6441,SWAN REACH,1
10341,NEWBOROUGH,4
6397,WOOLSTHORPE,1
10254,BUNDALAGUAH,1
10368,NEWCOMB,3
6837,MANIFOLD HEIGHTS,1
9624,BELMONT,8
9571,KOONDROOK,1
6986,RICHMOND,6
6554,BANGHOLME,1
7697,MINERS REST,1
10116,WINCHELSEA,1
7406,CANADIAN,1
8983,HEALESVILLE,4
6389,CHARLTON,2
10059,EPSOM,1
9593,COBRAM,5
6975,SASSAFRAS,2
7324,HALLAM,2
9515,DEANS MARSH,1
8353,THOONA,1
7412,MENZIES CREEK,1
9025,SANDY CREEK,1
8911,TOONGABBIE,1
8191,DARRAWEIT GUIM,1
7787,SOMERVILLE,4
10515,WOODSIDE,1
10181,DELAHEY,2
8327,KIALLA,1
8597,WHITTLESEA,3
10285,YARRAMBAT,2
7660,YERING,1
9508,FRESHWATER CREEK,1
8294,MAFFRA,3
6892,QUARRY HILL,2
9189,HAMILTON,9
9428,BURWOOD,5
10249,BACCHUS MARSH,2
10372,FISH CREEK,1
8533,BRUTHEN,1
8704,STANHOPE,1
10513,ASHBURTON,3
8313,WHITFIELD,1
6817,BONBEACH,1
7397,MOUNT WAVERLEY,10
8693,INVERGORDON,1
7999,EPPING,10
9789,CAROLINE SPRINGS,8
7736,CHEWTON,1
10230,KATUNGA,2
8650,AVOCA,1
8449,TRARALGON,9
7968,MALDON,1
9079,KOORLONG,1
